Title,Author,Price,Link,Category,ISBN13,Binding,Subject,Publisher,Publisher Imprint,Publication Date,Pages,Original Price,Language,Edition,Item Weight
Mrs. Dalloway,by Virginia Woolf,Rs. 175.00,https://atlanticbooks.com/products/mrs-dalloway,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,160,INR 250.00,English,N/A,190 grams
Orlando,by Virginia Woolf,Rs. 207.00,https://atlanticbooks.com/products/orlando,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,248,INR 295.00,English,N/A,250 grams
Persuasion,by Jane Austen,Rs. 175.00,https://atlanticbooks.com/products/persuasion,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,232,INR 250.00,English,N/A,220 grams
She Stoops To Conquer,by Oliver Goldsmith,Rs. 175.00,https://atlanticbooks.com/products/she-stoops-to-conquer,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-08-2023,86,INR 250.00,English,N/A,190 grams
Sons And Lovers,by D.H. Lawrence,Rs. 245.00,https://atlanticbooks.com/products/sons-and-lovers,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,452,INR 350.00,English,N/A,390 grams
Tess Of The D'Urbervilles,by Thomas Hardy,Rs. 262.00,https://atlanticbooks.com/products/tess-of-the-durbervilles,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,30-01-2024,452,INR 349.00,English,N/A,300 grams
The Charles Dickens Collection,by Charles Dickens,"Rs. 1,084.00",https://atlanticbooks.com/products/the-charles-dickens-collection,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,2080,INR 1445.00,English,N/A,1476 grams
The D.H. Lawrence Collection,by D.H. Lawrence,"Rs. 1,076.00",https://atlanticbooks.com/products/the-d-h-lawrence-collection,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,1850,INR 1434.00,English,N/A,1313 grams
The Invisible Man,by H.G. Wells,Rs. 132.00,https://atlanticbooks.com/products/the-invisible-man,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,160,INR 175.00,English,N/A,130 grams
The Jane Austen Collection,by Jane Austen,"Rs. 1,122.00",https://atlanticbooks.com/products/the-jane-austen-collection,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,2006,INR 1495.00,English,N/A,1450 grams
The Jungle Books,by Rudyard Kipling,Rs. 175.00,https://atlanticbooks.com/products/the-jungle-books,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,350,INR 250.00,English,N/A,340 grams
The Mayor Of Casterbridge,by Thomas Hardy,Rs. 193.00,https://atlanticbooks.com/products/the-mayor-of-casterbridge,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,336,INR 275.00,English,N/A,170 grams
The Merchant Of Venice,by William Shakespeare,Rs. 94.00,https://atlanticbooks.com/products/the-merchant-of-venice,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,21-03-2023,96,INR 125.00,English,N/A,760 grams
The Picture Of Dorian Gray,by Oscar Wilde,Rs. 188.00,https://atlanticbooks.com/products/the-picture-of-dorian-gray,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,01-05-2023,264,INR 250.00,English,N/A,210 grams
The Professor,by Charlotte Bronte,Rs. 277.00,https://atlanticbooks.com/products/the-professor,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,310,INR 395.00,English,N/A,340 grams
The Rainbow,by D.H. Lawrence,Rs. 297.00,https://atlanticbooks.com/products/the-rainbow,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-08-2024,518,INR 395.00,English,N/A,210 grams
The Return Of The Native,by Thomas Hardy,Rs. 207.00,https://atlanticbooks.com/products/the-return-of-the-native,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,440,INR 295.00,English,N/A,370 grams
The Scarlet Letter,by Nathaniel Hawthorne,Rs. 169.00,https://atlanticbooks.com/products/the-scarlet-letter,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,21-03-2023,258,INR 225.00,English,N/A,180 grams
The Secret Agent,by Joseph Conrad,Rs. 137.00,https://atlanticbooks.com/products/the-secret-agent,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,276,INR 195.00,English,N/A,260 grams
The Poverty of Philosophy,by Karl Marx,Rs. 188.00,https://atlanticbooks.com/collections/non-fiction/products/the-poverty-of-philosophy,Non-Fiction,9.79E+12,Paperback,Religion and Philosophy,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,N/A,212,INR 250.00,English,N/A,0 grams
Candide,by Voltaire,Rs. 113.00,https://atlanticbooks.com/collections/non-fiction/products/candide,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,140,INR 150.00,English,N/A,110 grams
POWER OF NEUROPLASTICITY,by Shad Helmstetter Ph.d.,"Rs. 1,000.00",https://atlanticbooks.com/collections/non-fiction/products/power-of-neuroplasticity,Non-Fiction,9.78E+12,N/A,N/A,Createspace Independent Pub,N/A,28-01-2025,288,N/A,English,N/A,500 grams
The Richest Man in Babylon,by George S. Clason,Rs. 113.00,https://atlanticbooks.com/collections/non-fiction/products/the-richest-man-in-babylon-9788124806210,Non-Fiction,9.79E+12,Paperback,Economics,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-01-2025,138,INR 150.00,English,N/A,120 grams
The German Ideology,"by Karl Marx/Friedrich Engels , Friedrich Engels",Rs. 446.00,https://atlanticbooks.com/collections/non-fiction/products/the-german-ideology,Non-Fiction,9.79E+12,Paperback,Sociology and Anthropology,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-01-2025,712,INR 595.00,English,N/A,710 grams
Principles of Political Economy and Taxation,by David Ricardo,Rs. 372.00,https://atlanticbooks.com/collections/non-fiction/products/principles-of-political-economy-and-taxation,Non-Fiction,9.79E+12,Paperback,General Books,Atlantic Publishers & Distributors (P) Ltd,N/A,24-10-2024,392,INR 495.00,English,N/A,350 grams
How to Win Friends and Influence People,by Dale Carnegie,Rs. 169.00,https://atlanticbooks.com/collections/non-fiction/products/how-to-win-friends-and-influence-people-9788124805770,Non-Fiction,9.79E+12,Paperback,Religion and Philosophy,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-01-2025,270,INR 225.00,English,N/A,210 grams
Ten Great Economists: From Marx to Keynes,by Joseph A. Schumpeter,Rs. 245.00,https://atlanticbooks.com/collections/non-fiction/products/ten-great-economists-from-marx-to-keynes9788124806432,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-01-2025,274,INR 350.00,English,N/A,250 grams
The Story of My Experiments with Truth,by Mohandas Karamchand Gandhi,Rs. 222.00,https://atlanticbooks.com/collections/non-fiction/products/the-story-of-my-experiments-with-truth,Non-Fiction,9.79E+12,Paperback,History,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,08-11-2024,462,INR 295.00,English,192,410 grams
The Travels Of Marco Polo,by Marco Polo,Rs. 207.00,https://atlanticbooks.com/collections/non-fiction/products/the-travels-of-marco-polo,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-08-2023,278,INR 275.00,English,N/A,270 grams
The Prince,by Nicolo Machiavelli,Rs. 158.00,https://atlanticbooks.com/collections/non-fiction/products/the-prince,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-06-2023,96,INR 225.00,English,N/A,370 grams
The Origin Of Species,by Charles Darwin,Rs. 297.00,https://atlanticbooks.com/collections/non-fiction/products/the-origin-of-species,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,432,INR 395.00,English,N/A,290 grams
David Copperfield,by Charles Dickens,Rs. 487.00,https://atlanticbooks.com/collections/non-fiction/products/david-copperfield,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-06-2023,900,INR 695.00,English,N/A,860 grams
"Capitalism, Socialism and Democracy",by Joseph A. Schumpeter,"Rs. 1,196.00",https://atlanticbooks.com/collections/non-fiction/products/capitalism-socialism-and-democracy,Non-Fiction,9.79E+12,Hardcover,Politics and Current Affairs,Prestige Publishers,Prestige Publishers,13-05-2019,N/A,INR 1495.00,English,N/A,0 grams
Yoga For Stress Management,by Sri Venkatkrishnan,Rs. 175.00,https://atlanticbooks.com/collections/non-fiction/products/yoga-for-stress-management,Non-Fiction,9.79E+12,Hardcover,"Health, Physical Fitness and Yoga",Atlantic Publishers & Distributors (P) Ltd,Peacock Books,26-06-2008,168,INR 250.00,English,N/A,190 grams
"Yes, I Am Bihari",by Vivekanand Jha,Rs. 188.00,https://atlanticbooks.com/collections/non-fiction/products/yes-i-am-bihari,Non-Fiction,9.79E+12,Paperback,General Books,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2016,272,INR 250.00,English,N/A,310 grams
Two Treatises Of Government,by John Locke,Rs. 347.00,https://atlanticbooks.com/collections/non-fiction/products/two-treatises-of-government,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,280,INR 495.00,English,N/A,290 grams
The Voyage of the Beagle,by Charles Darwin,Rs. 487.00,https://atlanticbooks.com/collections/non-fiction/products/the-voyage-of-the-beagle,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,556,INR 695.00,English,N/A,460 grams
The Republic (Peacock Books),by Plato,Rs. 207.00,https://atlanticbooks.com/collections/non-fiction/products/the-republic-peacock-books,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,24-07-2024,290,INR 275.00,English,N/A,260 grams
The Pilgrim'S Progress,by John Bunyan,Rs. 188.00,https://atlanticbooks.com/collections/non-fiction/products/the-pilgrims-progress,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,304,INR 250.00,English,N/A,210 grams
The Humps And Bumps Of Marriage: How to Prevent Broken Homes,by Sushil K. Jaiswal,Rs. 188.00,https://atlanticbooks.com/collections/non-fiction/products/the-humps-and-bumps-of-marriage-how-to-prevent-broken-homes,Non-Fiction,9.79E+12,Paperback,Sociology and Anthropology,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2017,118,INR 250.00,English,N/A,160 grams
"The General Theory of Employment, Interest and Money (9788124805527)",by John Maynard Keynes,Rs. 263.00,https://atlanticbooks.com/collections/non-fiction/products/the-general-theory-of-employment-interest-and-money-9788124805527,Non-Fiction,9.79E+12,Paperback,Economics,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,07-03-2024,354,INR 350.00,English,N/A,400 grams
The Essays,by Francis Bacon,Rs. 207.00,https://atlanticbooks.com/collections/non-fiction/products/the-essays,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,152,INR 295.00,English,N/A,210 grams
The Communist Manifesto,by Karl Marx Friedrick Engels,Rs. 297.00,https://atlanticbooks.com/collections/non-fiction/products/the-communist-manifesto,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,464,INR 395.00,English,N/A,309 grams
The Autobiography of Benjamin Franklin,by Frank Woodworth Pine,Rs. 188.00,https://atlanticbooks.com/collections/non-fiction/products/the-autobiography-of-benjamin-franklin,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,27-04-2024,336,INR 250.00,English,N/A,180 grams
The 6 Spheres Of Life: Unlocking the Door to Success and Happiness,by Chitra G. Lele,Rs. 147.00,https://atlanticbooks.com/collections/non-fiction/products/the-6-spheres-of-life-unlocking-the-door-to-success-and-happiness,Non-Fiction,9.79E+12,Paperback,General Books,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-05-2009,208,INR 195.00,English,N/A,110 grams
Sudoku And Loop The Loop,by Dheeraj Singh,Rs. 64.00,https://atlanticbooks.com/collections/non-fiction/products/sudoku-and-loop-the-loop,Non-Fiction,9.79E+12,Paperback,General Books,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-05-2009,128,INR 85.00,English,N/A,200 grams
Sons And Lovers,by D.H. Lawrence,Rs. 245.00,https://atlanticbooks.com/collections/non-fiction/products/sons-and-lovers,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,452,INR 350.00,English,N/A,390 grams
"Senior Citizens: Hardships, Hassles and Happiness",by P.C. Jain,Rs. 263.00,https://atlanticbooks.com/collections/non-fiction/products/senior-citizens-hardships-hassles-and-happiness,Non-Fiction,9.79E+12,Paperback,"Health, Physical Fitness and Yoga",Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2016,206,INR 350.00,English,N/A,230 grams
Religion Family-Line And Indian Polity,by M.P. Sinha,Rs. 277.00,https://atlanticbooks.com/collections/non-fiction/products/religion-family-line-and-indian-polity,Non-Fiction,9.79E+12,Hardcover,Religion and Philosophy,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,118,INR 395.00,English,N/A,273 grams
Relativity: The Special and General Theory,by Albert Einstein,Rs. 132.00,https://atlanticbooks.com/collections/non-fiction/products/relativity-the-special-and-general-theory,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,10-02-2024,142,INR 175.00,English,N/A,140 grams
Principles Of Economics,by Alfred Marshall,Rs. 597.00,https://atlanticbooks.com/collections/non-fiction/products/principles-of-economics,Non-Fiction,9.79E+12,Paperback,Economics,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,11-09-2024,1020,INR 795.00,English,N/A,900 grams
Plan For Prosperity: Road to Riches with Financial Wisdom,by Sanjay Matai,Rs. 263.00,https://atlanticbooks.com/collections/non-fiction/products/plan-for-prosperity-road-to-riches-with-financial-wisdom,Non-Fiction,9.79E+12,Hardcover,Business Management,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-05-2009,240,INR 375.00,English,N/A,290 grams
Pearls Of Wisdom,by Alexander P. Varghese,Rs. 188.00,https://atlanticbooks.com/collections/non-fiction/products/pearls-of-wisdom,Non-Fiction,9.79E+12,Paperback,General Books,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-05-2009,264,INR 250.00,English,N/A,170 grams
Orlando,by Virginia Woolf,Rs. 207.00,https://atlanticbooks.com/collections/non-fiction/products/orlando,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,248,INR 295.00,English,N/A,250 grams
On War,by Carl Von Clausewitz,Rs. 413.00,https://atlanticbooks.com/collections/non-fiction/products/on-war,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,N/A,646,INR 550.00,English,N/A,600 grams
Nationalism,by Rabindranath Tagore,Rs. 94.00,https://atlanticbooks.com/collections/non-fiction/products/nationalism,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,30-09-2024,104,INR 125.00,English,N/A,90 grams
My Kashmir in Peace and Turbulence: Story of a Native in Exile,by B.L. Kaul,Rs. 487.00,https://atlanticbooks.com/collections/non-fiction/products/my-kashmir-in-peace-and-turbulence-story-of-a-native-in-exile,Non-Fiction,9.79E+12,Hardcover,History,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,308,INR 695.00,English,N/A,440 grams
Love Your Disease: Where There’s Smoke...,"by John Harrison, M.D.",Rs. 188.00,https://atlanticbooks.com/collections/non-fiction/products/love-your-disease-where-there-s-smoke,Non-Fiction,9.79E+12,Paperback,"Health, Physical Fitness and Yoga",Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,114,INR 250.00,English,N/A,130 grams
Love Your Disease: It’s Keeping You Healthy,"by John Harrison, M.D.",Rs. 372.00,https://atlanticbooks.com/collections/non-fiction/products/love-your-disease-it-s-keeping-you-healthy,Non-Fiction,9.79E+12,Paperback,"Health, Physical Fitness and Yoga",Atlantic Publishers & Distributors (P) Ltd,Peacock Books,13-06-2023,336,INR 495.00,English,N/A,390 grams
Love Your Disease: Highway to Health,"by John Harrison, M.D.",Rs. 222.00,https://atlanticbooks.com/collections/non-fiction/products/love-your-disease-highway-to-health,Non-Fiction,9.79E+12,Paperback,"Health, Physical Fitness and Yoga",Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,210,INR 295.00,English,N/A,230 grams
"Human Reproduction, Contraception, Family Planning And Sex",by Kuldeep Kaushik,Rs. 315.00,https://atlanticbooks.com/collections/non-fiction/products/human-reproduction-contraception-family-planning-and-sex,Non-Fiction,9.79E+12,Hardcover,"Health, Physical Fitness and Yoga",Atlantic Publishers & Distributors (P) Ltd,Peacock Books,05-04-2009,224,INR 450.00,English,N/A,280 grams
Healing by Reprogramming of Instinctive Mind,"by Sushil Kumar Srivastava , Mangla Prasad Srivastava",Rs. 372.00,https://atlanticbooks.com/collections/non-fiction/products/healing-by-reprogramming-of-instinctive-mind,Non-Fiction,9.79E+12,Paperback,"Health, Physical Fitness and Yoga",Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2017,324,INR 495.00,English,N/A,330 grams
"Haan, Main Bihari Hoon",by Vivekanand Jha,Rs. 150.00,https://atlanticbooks.com/collections/non-fiction/products/haan-main-bihari-hoon,Non-Fiction,9.79E+12,Paperback,General Books,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2016,242,INR 200.00,N/A,N/A,278 grams
Gems From The Ramcharitmanas,by Prem P. Bhalla,Rs. 113.00,https://atlanticbooks.com/collections/non-fiction/products/gems-from-the-ramcharitmanas,Non-Fiction,9.79E+12,Paperback,Religion and Philosophy,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-05-2009,128,INR 150.00,English,N/A,170 grams
Fathers and Sons,by Ivan Sergeyevich Turgenev,Rs. 207.00,https://atlanticbooks.com/collections/non-fiction/products/fathers-and-sons,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,296,INR 275.00,English,N/A,230 grams
Confessions of an English Opium Eater,by Thomas De Quincey,Rs. 277.00,https://atlanticbooks.com/collections/non-fiction/products/confessions-of-an-english-opium-eater,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,276,INR 395.00,English,N/A,290 grams
Autobiography of a Yogi,by Paramahansa Yogananda,Rs. 222.00,https://atlanticbooks.com/collections/non-fiction/products/autobiography-of-a-yogi,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,10-07-2024,480,INR 295.00,English,N/A,400 grams
The Secret Agent,by Joseph Conrad,Rs. 137.00,https://atlanticbooks.com/products/the-secret-agent,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,276,INR 195.00,English,N/A,260 grams
The Scarlet Letter,by Nathaniel Hawthorne,Rs. 169.00,https://atlanticbooks.com/products/the-scarlet-letter,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,21-03-2023,258,INR 225.00,English,N/A,180 grams
The Return Of The Native,by Thomas Hardy,Rs. 207.00,https://atlanticbooks.com/products/the-return-of-the-native,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,440,INR 295.00,English,N/A,370 grams
The Rainbow,by D.H. Lawrence,Rs. 297.00,https://atlanticbooks.com/products/the-rainbow,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-08-2024,518,INR 395.00,English,N/A,210 grams
The Professor,by Charlotte Bronte,Rs. 277.00,https://atlanticbooks.com/products/the-professor,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,310,INR 395.00,English,N/A,340 grams
The Picture Of Dorian Gray,by Oscar Wilde,Rs. 188.00,https://atlanticbooks.com/products/the-picture-of-dorian-gray,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,01-05-2023,264,INR 250.00,English,N/A,210 grams
The Merchant Of Venice,by William Shakespeare,Rs. 94.00,https://atlanticbooks.com/products/the-merchant-of-venice,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,21-03-2023,96,INR 125.00,English,N/A,760 grams
The Mayor Of Casterbridge,by Thomas Hardy,Rs. 193.00,https://atlanticbooks.com/products/the-mayor-of-casterbridge,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,336,INR 275.00,English,N/A,170 grams
The Jungle Books,by Rudyard Kipling,Rs. 175.00,https://atlanticbooks.com/products/the-jungle-books,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,350,INR 250.00,English,N/A,340 grams
The Jane Austen Collection,by Jane Austen,"Rs. 1,122.00",https://atlanticbooks.com/products/the-jane-austen-collection,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,2006,INR 1495.00,English,N/A,1450 grams
The Invisible Man,by H.G. Wells,Rs. 132.00,https://atlanticbooks.com/products/the-invisible-man,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,160,INR 175.00,English,N/A,130 grams
The D.H. Lawrence Collection,by D.H. Lawrence,"Rs. 1,076.00",https://atlanticbooks.com/products/the-d-h-lawrence-collection,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,1850,INR 1434.00,English,N/A,1313 grams
The Charles Dickens Collection,by Charles Dickens,"Rs. 1,084.00",https://atlanticbooks.com/products/the-charles-dickens-collection,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,2080,INR 1445.00,English,N/A,1476 grams
Tess Of The D'Urbervilles,by Thomas Hardy,Rs. 262.00,https://atlanticbooks.com/products/tess-of-the-durbervilles,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,30-01-2024,452,INR 349.00,English,N/A,300 grams
Sons And Lovers,by D.H. Lawrence,Rs. 245.00,https://atlanticbooks.com/products/sons-and-lovers,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,452,INR 350.00,English,N/A,390 grams
She Stoops To Conquer,by Oliver Goldsmith,Rs. 175.00,https://atlanticbooks.com/products/she-stoops-to-conquer,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-08-2023,86,INR 250.00,English,N/A,190 grams
Persuasion,by Jane Austen,Rs. 175.00,https://atlanticbooks.com/products/persuasion,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,232,INR 250.00,English,N/A,220 grams
Orlando,by Virginia Woolf,Rs. 207.00,https://atlanticbooks.com/products/orlando,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,248,INR 295.00,English,N/A,250 grams
Mrs. Dalloway,by Virginia Woolf,Rs. 175.00,https://atlanticbooks.com/products/mrs-dalloway,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,160,INR 250.00,English,N/A,190 grams
Moll Flanders,by Daniel Defoe,Rs. 175.00,https://atlanticbooks.com/products/moll-flanders,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,27-06-2023,322,INR 250.00,English,N/A,300 grams
Metamorphosis,by Franz Kafka,Rs. 94.00,https://atlanticbooks.com/products/metamorphosis,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,01-10-2024,78,INR 125.00,English,N/A,70 grams
Mansfield Park,by Jane Austen,Rs. 207.00,https://atlanticbooks.com/products/mansfield-park,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,422,INR 295.00,English,N/A,401 grams
Man And Superman,by George Bernard Shaw,Rs. 263.00,https://atlanticbooks.com/products/man-and-superman,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,29-05-2023,252,INR 375.00,English,N/A,100 grams
Lord Jim,by Joseph Conrad,Rs. 193.00,https://atlanticbooks.com/products/lord-jim,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,09-12-2023,336,INR 275.00,English,N/A,310 grams
Little Women,by Louisa May Alcott,Rs. 263.00,https://atlanticbooks.com/products/little-women,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,N/A,470,INR 350.00,English,N/A,450 grams
Jude The Obscure,by Thomas Hardy,Rs. 263.00,https://atlanticbooks.com/products/jude-the-obscure,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,416,INR 375.00,English,N/A,370 grams
Journey To The Centre Of The Earth,by Jules Verne,Rs. 147.00,https://atlanticbooks.com/products/journey-to-the-centre-of-the-earth,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,194,INR 195.00,English,N/A,300 grams
Joseph Andrews,by Henry Fielding,Rs. 222.00,https://atlanticbooks.com/products/joseph-andrews,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,18-09-2023,358,INR 295.00,English,N/A,250 grams
Jane Eyre,by Charlotte Bronte,Rs. 263.00,https://atlanticbooks.com/products/jane-eyre,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-01-2023,488,INR 350.00,English,N/A,330 grams
